name,blurb,goal,pledged,usd_pledged,backers_count,country,currency,created_at,launched_at,deadline,staff_pick,spotlight,creator,is_starrable,state,category,is_liked,is_disliked,url,campaign_day_length
Tanares RPG - 5e,"RPG Adventure + Supplement for 5th Edition, with Ed Greenwood, Amy Vorpahl, Skip Williams, and many other legends!",50000.0,2100242.0,2100242.0,9403,US,USD,2020-04-13,2021-08-31,2021-09-30,True,True,Dragori Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/dragorigames/tanares-rpg,30
Heliana's Guide To Monster Hunting: A 5e Supplement,"Level up your game with epic monster hunts, tracking, harvesting, and crafting.",15000.0,1845422.69,1845422.69,18082,US,USD,2021-04-07,2021-06-01,2021-07-01,True,True,Loot Tavern,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/saltybot/monsterhunting5e,30
Dungeons & Lasers Third Edition,"Modular Dungeons and fantasy Town, 132+ NPC miniatures, 5E Campaign, Dragons and Animal Companions Facebook: dungeonsandlasers",50000.0,1424662.4,1712828.706935136,9014,PL,EUR,2021-01-27,2021-05-04,2021-05-19,True,True,Archon Studio,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/archonstudio/dungeons-and-lasers-third-edition,15
"The Deck of Many Animated Spells, Tarot and More for 5e",Cast your spells and more with style!,20000.0,1310509.0,1310509.0,9871,US,USD,2020-04-21,2020-05-12,2020-06-11,True,True,Hit Point Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/hitpointpress/the-deck-of-many-animated-spells-tarot-and-more-for-5e,30
Dungeons of Drakkenheim,A 5e adventure where malevolent monsters and rival factions clash in a dark city devastated by a mysterious meteor shower!,20000.0,1279240.0,1279240.0,13376,US,USD,2021-04-29,2021-06-28,2021-07-31,True,True,Dungeon Dudes,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/2144996758/dungeons-of-drakkenheim,33
Auroboros: Coils of the Serpent,An epic 5E fantasy campaign setting by Chris Metzen.,50000.0,1260863.0,1260863.0,10218,US,USD,2021-03-10,2021-04-20,2021-05-21,True,True,Warchief Gaming,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/warchief/auroboros,31
Humblewood Campaign Setting for 5e DND,"Humblewood is a campaign setting for 5e DND that includes new birdfolk player races, new monsters, compelling adventure and more!",20000.0,1001085.5,1001085.5,14604,US,USD,2019-02-12,2019-03-12,2019-04-11,False,True,Hit Point Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/hitpointpress/humblewood-campaign-setting-for-5e-dnd,30
Animal Adventures: The Faraway Sea,"5e RPG campaign where mystical islands appear from a magical fog known as The Rift, inc. 10 new player species, 30+ minis, & more! 🏝",50000.0,543996.55,748339.682225667,7611,GB,GBP,2021-05-10,2021-07-20,2021-07-30,True,True,Russ Charles,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/russrmc/animal-adventures-the-faraway-sea,10
Encyclopedia: Lore Book & Toolbox for your 5E Campaign 🛠️,"Level-up your 5th Edition campaign with this 360-page tome featuring dozens of ready-to-use cities, locations, NPCs and magic items.",20000.0,711432.0,711432.0,8323,US,USD,2021-02-06,2021-03-08,2021-04-02,True,True,Jim Searcy,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/1176616619/encyclopedia-complete-lore-book-for-5e,25
Valda's Spire of Secrets: A Colossal Expansion for DnD 5E,"Unleash 5e with this compendium of groundbreaking classes, spells, feats, and more!",40000.0,704467.01,704467.01,7710,US,USD,2021-07-02,2021-08-31,2021-09-30,False,True,Mage Hand Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/magehandpress/spire-of-secrets,30
